,time,north_east,south_east,south_west,north_west
361,2019-07-16 01:00:00,0.0,0.0,0.0,0.0
362,2019-07-16 02:00:00,0.0,0.0,0.0,0.0
363,2019-07-16 03:00:00,0.0,0.0,0.0,0.0
364,2019-07-16 04:00:00,0.0,0.0,0.0,0.0
365,2019-07-16 05:00:00,0.0,0.0,0.0,0.0
366,2019-07-16 06:00:00,0.0,0.0,0.0,0.0
367,2019-07-16 07:00:00,0.0,0.0,0.0,0.0
368,2019-07-16 08:00:00,0.0,337.9920634920635,335.4,0.0
369,2019-07-16 09:00:00,0.0,0.0,0.0,0.0
370,2019-07-16 10:00:00,0.0,0.0,0.0,0.0
371,2019-07-16 11:00:00,0.0,0.0,0.0,0.0
372,2019-07-16 12:00:00,0.0,0.0,0.0,0.0
373,2019-07-16 13:00:00,0.0,0.0,0.0,0.0
374,2019-07-16 14:00:00,0.0,0.0,0.0,0.0
375,2019-07-16 15:00:00,0.0,0.0,0.0,0.0
376,2019-07-16 16:00:00,0.0,0.0,0.0,0.0
377,2019-07-16 17:00:00,0.0,0.0,0.0,0.0
378,2019-07-16 18:00:00,0.0,308.3,0.0,0.0
379,2019-07-16 19:00:00,0.0,0.0,0.0,0.0
380,2019-07-16 20:00:00,0.0,309.11089108910886,311.0666666666666,0.0
381,2019-07-16 21:00:00,0.0,0.0,0.0,0.0
382,2019-07-16 22:00:00,0.0,0.0,0.0,0.0
383,2019-07-16 23:00:00,0.0,0.0,0.0,0.0
384,2019-07-17 00:00:00,0.0,0.0,0.0,0.0
385,2019-07-17 01:00:00,0.0,0.0,0.0,0.0
386,2019-07-17 02:00:00,0.0,0.0,0.0,0.0
387,2019-07-17 03:00:00,0.0,0.0,0.0,0.0
388,2019-07-17 04:00:00,0.0,0.0,0.0,0.0
389,2019-07-17 05:00:00,0.0,0.0,0.0,0.0
390,2019-07-17 06:00:00,0.0,0.0,0.0,0.0
391,2019-07-17 07:00:00,0.0,336.08043478260873,333.2333333333333,0.0
392,2019-07-17 08:00:00,0.0,0.0,0.0,0.0
393,2019-07-17 09:00:00,0.0,0.0,0.0,0.0
394,2019-07-17 10:00:00,0.0,0.0,0.0,0.0
395,2019-07-17 11:00:00,0.0,0.0,0.0,0.0
396,2019-07-17 12:00:00,0.0,0.0,0.0,0.0
397,2019-07-17 13:00:00,0.0,0.0,0.0,0.0
398,2019-07-17 14:00:00,0.0,0.0,0.0,0.0
399,2019-07-17 15:00:00,0.0,0.0,0.0,0.0
400,2019-07-17 16:00:00,0.0,0.0,0.0,0.0
401,2019-07-17 17:00:00,0.0,0.0,0.0,0.0
402,2019-07-17 18:00:00,0.0,305.44,0.0,0.0
403,2019-07-17 19:00:00,0.0,0.0,0.0,0.0
404,2019-07-17 20:00:00,0.0,310.68137254901967,308.77272727272725,305.7
405,2019-07-17 21:00:00,0.0,0.0,0.0,0.0
406,2019-07-17 22:00:00,0.0,0.0,0.0,0.0
407,2019-07-17 23:00:00,0.0,0.0,0.0,0.0
408,2019-07-18 00:00:00,0.0,0.0,0.0,0.0
409,2019-07-18 01:00:00,0.0,0.0,0.0,0.0
410,2019-07-18 02:00:00,0.0,0.0,0.0,0.0
411,2019-07-18 03:00:00,0.0,0.0,0.0,0.0
412,2019-07-18 04:00:00,0.0,0.0,0.0,0.0
413,2019-07-18 05:00:00,0.0,0.0,0.0,0.0
414,2019-07-18 06:00:00,0.0,0.0,0.0,0.0
415,2019-07-18 07:00:00,0.0,336.2351351351352,0.0,330.4
416,2019-07-18 08:00:00,0.0,0.0,0.0,0.0
417,2019-07-18 09:00:00,0.0,0.0,336.85,0.0
418,2019-07-18 10:00:00,0.0,0.0,0.0,0.0
419,2019-07-18 11:00:00,0.0,0.0,0.0,0.0
420,2019-07-18 12:00:00,0.0,0.0,0.0,0.0
421,2019-07-18 13:00:00,0.0,0.0,0.0,0.0
422,2019-07-18 14:00:00,0.0,0.0,0.0,0.0
423,2019-07-18 15:00:00,0.0,0.0,0.0,0.0
424,2019-07-18 16:00:00,0.0,0.0,0.0,0.0
425,2019-07-18 17:00:00,0.0,0.0,0.0,0.0
426,2019-07-18 18:00:00,0.0,0.0,0.0,0.0
427,2019-07-18 19:00:00,0.0,312.69351351351344,307.5142857142857,0.0
428,2019-07-18 20:00:00,0.0,0.0,0.0,0.0
429,2019-07-18 21:00:00,0.0,0.0,306.5571428571429,0.0
430,2019-07-18 22:00:00,0.0,0.0,0.0,0.0
431,2019-07-18 23:00:00,0.0,0.0,0.0,0.0
432,2019-07-19 00:00:00,0.0,0.0,0.0,0.0
433,2019-07-19 01:00:00,0.0,0.0,0.0,0.0
434,2019-07-19 02:00:00,0.0,0.0,0.0,0.0
